understand requests session request flow	src/requests/sessions.py
understand requests cookie handling behavior	src/requests/cookies.py
understand requests headers case insensitive behavior	src/requests/structures.py
understand authentication behavior	src/requests/auth.py
understand configuration settings	src/requests/sessions.py
understand package startup flow	src/requests/__init__.py
understand proxy behavior	src/requests/adapters.py
understand redirect behavior	src/requests/sessions.py
debug retry timeout handling	src/requests/adapters.py
understand ssl certificate verification behavior	src/requests/adapters.py
debug certificate verification failure	src/requests/adapters.py
understand requests adapter test coverage	tests/test_requests.py
