understand express application routing behavior	lib/express.js
understand middleware behavior	lib/application.js
understand application settings	lib/application.js
understand startup flow	index.js
understand express response rendering behavior	lib/response.js
understand express error handling behavior	lib/application.js
understand express static file serving behavior	lib/express.js
understand express request body parsing behavior	lib/express.js
understand express redirect response behavior	lib/response.js
understand express query parameter parsing behavior	lib/request.js
understand express response header behavior	lib/response.js
understand express route parameter behavior	lib/application.js
understand express response cookie behavior	lib/response.js
understand express HTTP method routing behavior	lib/application.js
understand express mounted app router behavior	lib/application.js
understand express request dispatch lifecycle behavior	lib/application.js
